points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment,player.id,player.firstname,player.lastname,team.id,team.name,team.nickname,team.code,team.logo,game.id
7,SG,24,3,8,37.5,0,0,0,1,4,25.0,1,3,4,5,3,1,1,0,-16,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12606
14,SG,30,5,9,55.6,0,0,0,4,7,57.1,0,5,5,2,2,0,1,1,+16,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12620
19,SG,26,7,15,46.7,0,1,0,5,13,38.5,2,4,6,2,1,0,2,2,-1,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12628
19,SG,21,7,8,87.5,0,0,0,5,6,83.3,0,2,2,2,1,1,4,0,+22,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12641
10,SG,22,4,16,25.0,0,0,0,2,12,16.7,0,3,3,1,2,1,1,1,+10,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12653
11,SG,22,4,14,28.6,1,1,100.0,2,11,18.2,0,2,2,2,3,1,2,0,-21,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12666
16,SG,21,6,14,42.9,0,0,0,4,8,50.0,1,3,4,3,0,1,0,1,-1,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12684
2,SG,29,1,5,20.0,0,0,0,0,3,0,0,2,2,1,2,1,5,0,+10,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12698
3,SG,15,1,4,25.0,0,0,0,1,4,25.0,0,1,1,2,4,0,1,0,-15,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12735
24,SG,31,9,11,81.8,0,0,0,6,6,100.0,1,1,2,1,3,0,1,0,+20,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12751
31,SG,35,12,17,70.6,0,0,0,7,12,58.3,0,2,2,5,2,2,1,1,+10,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12760
18,SG,28,6,12,50.0,3,3,100.0,3,6,50.0,0,4,4,0,2,0,0,0,-7,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12773
9,SG,24,3,10,30.0,2,2,100.0,1,6,16.7,0,1,1,3,1,1,2,1,+4,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12794
12,SG,31,5,16,31.3,0,0,0,2,11,18.2,1,4,5,5,6,1,1,2,-13,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12815
7,SG,24,3,7,42.9,0,0,0,1,4,25.0,0,1,1,2,3,2,1,0,+20,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12832
21,SG,32,7,11,63.6,3,4,75.0,4,6,66.7,2,0,2,2,2,2,1,0,+29,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,13749
8,SG,30,3,11,27.3,2,2,100.0,0,6,0,4,7,11,2,3,2,2,1,0,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,13775
8,SG,32,3,11,27.3,0,0,0,2,9,22.2,1,4,5,4,3,1,2,0,-19,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,13779
16,SG,31,6,9,66.7,0,0,0,4,7,57.1,0,3,3,2,1,1,0,0,+2,,236,Buddy,Hield,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12841
